name,address,phone,url,description,type,image_filename
(권박사의)트루맘심리상담소,"서울특별시 마포구 백범로  199, 302,303호 (신공덕동, 메트로디오빌)",010-2713-0365,https://truemom.modoo.at,"안녕하셔요 공덕역 6번출구앞 메트로디오빌에 위치한 트루맘상담연구소입니다. 2018년도에 오픈하여 현재 공덕역에 위치하기까지 '진짜 나를 만나는 여정을 함께한다'는 의미로 운영하고 있습니다. 소장인 저는 20년이상의 경력과 숙대 교육학 박사(상담전공),숙대교육대학원 겸임교수로 재직중이며 상담사선생님들을 수련하는 일도 병행하고 있습니다. 저희 기관은 한국상담학회 교육연수기관며 청소년, 성인, 부부가족, 커플, 양육상담, 노인상담을 전문적으로 하고 있는 공인된 심리상담연구소입니다. https://blog.naver.com/welbe3 로 들어가시면 더 자세한 내용들을 살펴보실수 있습니다. 또한 평일오전7시부터 밤9시까지,주말,공휴일은 오전9시부터 저녁7시까지 연중무휴 예약제로 운영되고 있습니다. 예약은 010-8114-0365로 통화부재시 문자남겨주시면 연락드립니다. 감사합니다.",심리상담,"트루맘심리상담소_1.jpeg, 트루맘심리상담소_2.jpeg"
(사)인터넷꿈희망터,"서울특별시 강동구 양재대로81길  39, 3층 (성내동)",02-485-3690,www.idospace.or.kr,"(사) 인터넷꿈희망터 아이도스상담센터는 아동.청소년,성인,가족상담을 전문적으로 진행하며, (개인/집단)상담, 심리평가, 미술.음악.모래놀이치료 등을 비롯하여 통합적인 치료를 제공, 개개인의 건강한 삶을 회복하고 행복한 가정을 만들도록 돕습니다.",심리상담,"인터넷꿈희망터_1.jpg, 인터넷꿈희망터_2.jpg"
(주)나사랑심리상담센터,"서울특별시 성북구 삼선교로  39, 302호 (삼선동2가)",02-747-2131,cafe.daum.net/nalove777,"나사랑심리상담센터에서는 상담 및 임상심리전문가, 심리사들로 구성된 전문 상담진이 아동, 청소년, 성인의 건강한 자아발달을 돕고 있습니다. 또한 적응의 문제를 가진 아동, 청소년, 성인, 부부, 가족 등 폭넓은 대상에 대한 심리평가와 심리상담을 통해 나 자신을 사랑하고 행복한 삶을 살아갈 수 있도록 도움을 드립니다. 이와 더불어 상담 및 임상심리 전문가 교육과 수련을 담당하는 기관으로서 다양한 상담 및 교육 프로그램들을 제공합니다. 특히 국내에서 최초로 게슈탈트상담을 체계적으로 배울 수 있는 수련기관으로서의 역할을 다할 것입니다.",심리상담,나사랑심리상담센터_1.jpeg
(주)마음과마음상담센터,서울특별시 구로구 도림로  65 (구로동),02-853-6561,http://www.maum2.co.kr/m/office/guro.php,마음과마음 구로점은 건강한 마음을 위해 준비합니다.,정신건강의학과,"마음과마음_1.jpg, 마음과마음_2.jpg, 마음과마음_3.jpg"
(주)바다의별 심리상담센터 신월동점,"서울특별시 양천구 중앙로 302 (신정동), 3층",02-501-2191,https://badastar.imweb.me/,"바다의별심리상담센터는 영유아에서 아동청소년 및 성인을 대상으로 마음건강과 행복한 삶을 이룰 수 있도록 도움을 드리는 기관입니다. 상담심리사, 임상심리사, 예술치료사, 놀이치료사, 미술치료사 등 각 분야 전문 인력이 함께 일하면서 최고의 서비스를 제공하기 위해 노력합니다.

 또한 센터는 초기면담 후 체계적인 세밀한 각종 심리검사와 심층 상담후에 내면의 긍정과 희망의 에너지를 되살릴 수 있도록 개인별 최적의 효과 높은 상담이 진행하는데 있어서 마음을 더 할 것입니다.

 바다의별심리상담센터는 여러분과의 만남을 소중이 알고 여러분의 행복한 삶을 응원하고 기도합니다.

바다의별  김은희",심리상담,"바다의별신월동_1.jpg, 바다의별신월동_2.jpg"
(주)연세다움상담코칭센터,"서울특별시 마포구 월드컵북로  136, 6층 (성산동, 신안빌딩)",02-322-7081,www.다움상담코칭.com,"나다움, 너다움, 우리 다움에서 쓰이는 것 처럼 자기 다움을 찾아 진정한 자기 자신이 됨을 뜻합니다",심리상담,"다움상담코칭_1.jpg, 다움상담코칭_2.jpg, 다움상담코칭_3.jpg, 다움상담코칭_4.jpg, 다움상담코칭_5.jpg"
(주)원광아동상담센터,"서울특별시 강남구 논현로167길  16, 502호 (신사동, 삼구빌딩)",02-545-1147,http://www.childcounsel.co.kr/,"몸과 마음이 건강한 아이, 자신이 가진 능력을 충분히 발휘할 수 있는 아이, 나와 남을 잘 생가하는 아이, 당당하게 자기 자신을 사랑할 수 있는 아이, 여기는 우리 아이들과 부모들이 이렇게 성장할 수 있도록 돕는 곳, 원광아동상담센터입니다.",심리상담,"원광아동상담센터_1.jpg, 원광아동상담센터_2.jpg, 원광아동상담센터_3.jpg"
(주)킨더윌알파,"서울특별시 노원구 한글비석로31길  34, 2층 (상계동)",02-930-3421,https://kinderwill.com/,Kinder(우리 아이들)+Will(의지와 열정) 킨더윌은 우리 아이들이 주도적인 의지와 열정으로 행복한 꿈과 미래를 만들어 가는 곳입니다.,심리상담,"킨더윌_1.png, 킨더윌_2.png, 킨더윌_3.png"
(주)킴랩 부설 이화삼성심리센터,"서울특별시 양천구 안양천로  1131, 814호 (목동, LT 삼보)",02-2648-1639,www.ewhasamsung.com,"이화삼성심리센터는 보건복지부 공인 정신건강임상심리사 자격면허와 한국심리학회 임상심리전문가 라이센스를 보유한 국내 최고 권위의 석박사급 원장님들이 직접 초기 상담부터 검사, 심리치료까지 진행합니다. 임상심리학(Clinical Psychology)에 기반한 심리검사 및 상담을 진행하여 마음 건강 상태를 점검하고, 비약물 심리치료 등을 통해 마음 건강을 위한 최선의 방법을 모색합니다. [대표원장님 소개] 가톨릭대학교 심리학과 학사 / 이화여자대학교대학원 심리학과 석사 (발달 및 임상심리 전공) / 성균관대학교 삼성융합의과학원(Saihst) 디지털헬스 박사 <문의> : 02-2648-1639 / choi@kimlab.co <운영시간> 평일 월~금 , 주말 토~일 / 오전 9시~ 오후 10시 (예약제 운영)",심리상담,"이화삼성_1.jpg, 이화삼성_2.jpg"
(주)한신플러스케어,"서울특별시 영등포구 신풍로  113, 3층 304호 (신길동, 시원빌딩)",02-847-3782,https://pluscare.or.kr/,"마음과 마음이 만나면 가족이 됩니다.
고객과 한신플러스케어의 전직원은
때론 소낙비의 우산으로, 주저않고 싶을 때 간이의자가 되고
바람을 막아주는 바람막이가 되고, 언손을 녹이는 마주잡은 손이 되어
곁을 지키는 가족이 되겠습니다.",심리상담,"한신플러스_1.jpg, 한신플러스_2.jpg, 한신플러스_3.jpg"
